,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,Mirja Kramer,                        Mirja Krame*,                        Mirja Kram**,                        Mirja Kra***,                        Mirja Kr****,                        Mirja K*****,                        Mirja ******,                        Mirja*******,                        Mirj********,                        Mir*********,                        Mi**********,                        M***********,                        ************,                       *************,                      **************,                     ***************,                    ****************,                   *****************,                  ******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
1,Max Hörle,                           Max Hörl*,                           Max Hör**,                           Max Hö***,                           Max H****,                           Max *****,                           Max******,                           Ma*******,                           M********,                           *********,                          **********,                         ***********,                        ************,                       *************,                      **************,                     ***************,                    ****************,                   *****************,                  ******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
2,Geert Pärtzelt,                      Geert Pärtzel*,                      Geert Pärtze**,                      Geert Pärtz***,                      Geert Pärt****,                      Geert Pär*****,                      Geert Pä******,                      Geert P*******,                      Geert ********,                      Geert*********,                      Geer**********,                      Gee***********,                      Ge************,                      G*************,                      **************,                     ***************,                    ****************,                   *****************,                  ******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
3,Prof. Eleonore Beer,                 Prof. Eleonore Bee*,                 Prof. Eleonore Be**,                 Prof. Eleonore B***,                 Prof. Eleonore ****,                 Prof. Eleonore*****,                 Prof. Eleonor******,                 Prof. Eleono*******,                 Prof. Eleon********,                 Prof. Eleo*********,                 Prof. Ele**********,                 Prof. El***********,                 Prof. E************,                 Prof. *************,                 Prof.**************,                 Prof***************,                 Pro****************,                 Pr*****************,                 P******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
4,Isabelle Putz,                       Isabelle Put*,                       Isabelle Pu**,                       Isabelle P***,                       Isabelle ****,                       Isabelle*****,                       Isabell******,                       Isabel*******,                       Isabe********,                       Isab*********,                       Isa**********,                       Is***********,                       I************,                       *************,                      **************,                     ***************,                    ****************,                   *****************,                  ******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
5,Anne Hahn MBA.,                      Anne Hahn MBA*,                      Anne Hahn MB**,                      Anne Hahn M***,                      Anne Hahn ****,                      Anne Hahn*****,                      Anne Hah******,                      Anne Ha*******,                      Anne H********,                      Anne *********,                      Anne**********,                      Ann***********,                      An************,                      A*************,                      **************,                     ***************,                    ****************,                   *****************,                  ******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
6,Kunibert Jacobi Jäckel,              Kunibert Jacobi Jäcke*,              Kunibert Jacobi Jäck**,              Kunibert Jacobi Jäc***,              Kunibert Jacobi Jä****,              Kunibert Jacobi J*****,              Kunibert Jacobi ******,              Kunibert Jacobi*******,              Kunibert Jacob********,              Kunibert Jaco*********,              Kunibert Jac**********,              Kunibert Ja***********,              Kunibert J************,              Kunibert *************,              Kunibert**************,              Kuniber***************,              Kunibe****************,              Kunib*****************,              Kuni******************,              Kun*******************,              Ku********************,              K*********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
7,Dr. Leo Mühle B.A.,                  Dr. Leo Mühle B.A*,                  Dr. Leo Mühle B.**,                  Dr. Leo Mühle B***,                  Dr. Leo Mühle ****,                  Dr. Leo Mühle*****,                  Dr. Leo Mühl******,                  Dr. Leo Müh*******,                  Dr. Leo Mü********,                  Dr. Leo M*********,                  Dr. Leo **********,                  Dr. Leo***********,                  Dr. Le************,                  Dr. L*************,                  Dr. **************,                  Dr.***************,                  Dr****************,                  D*****************,                  ******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
8,Ali Trüb-Weitzel,                    Ali Trüb-Weitze*,                    Ali Trüb-Weitz**,                    Ali Trüb-Weit***,                    Ali Trüb-Wei****,                    Ali Trüb-We*****,                    Ali Trüb-W******,                    Ali Trüb-*******,                    Ali Trüb********,                    Ali Trü*********,                    Ali Tr**********,                    Ali T***********,                    Ali ************,                    Ali*************,                    Al**************,                    A***************,                    ****************,                   *****************,                  ******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
9,Pedro Ruppert,                       Pedro Rupper*,                       Pedro Ruppe**,                       Pedro Rupp***,                       Pedro Rup****,                       Pedro Ru*****,                       Pedro R******,                       Pedro *******,                       Pedro********,                       Pedr*********,                       Ped**********,                       Pe***********,                       P************,                       *************,                      **************,                     ***************,                    ****************,                   *****************,                  ******************,                 *******************,                ********************,               *********************,              **********************,             ***********************,            ************************,           *************************,          **************************,         ***************************,        ****************************,       *****************************,      ******************************,     *******************************,    ********************************,   *********************************,  **********************************, ***********************************,************************************
