,Name,Gender,Email,Amount_spent,zipcode,Age
0,Ing. Sybille Trubin,Female,paertzeltotfried@lindau.com,683,382240,35
1,Univ.Prof. Irene Briemer MBA.,Male,slobodan58@hotmail.de,206,382145,68
2,Kata Hornich B.Sc.,Male,edeltrauttroest@googlemail.com,569,382150,55
3,Hans-Jörg Sorgatz-Drub,Male,holzapfelirmi@yahoo.de,763,382145,44
4,Arnfried Tintzmann,Female,ahmet22@aol.de,443,382465,81
5,Kathleen Trommler,Female,jkoehler@yahoo.de,746,387810,35
6,Ullrich Striebitz B.Eng.,Male,kaethe72@web.de,200,380016,93
7,Dipl.-Ing. Juergen Säuberlich B.Sc.,Male,eckbauergabriela@web.de,830,382255,71
8,Achim Wagner-Kraushaar,Female,esteckel@gmail.com,108,382435,89
9,Liesel Berger,Male,iotto@kabus.com,158,382220,61
10,Paolo Schacht,Female,etta60@gerlach.com,832,382150,63
11,Ulla Fiebig B.A.,Female,bodostolze@gmail.com,146,382115,41
12,Herr Lukas Hethur,Female,schuelerswen@pechel.com,323,382220,43
13,Mirko Hörle,Female,eggertseifert@web.de,836,382435,4
14,Dipl.-Ing. Victor Wulff B.A.,Male,jacobi-jaeckelpamela@schwital.de,940,363610,44
15,Marlene Ehlert,Female,yrogner@yahoo.de,207,380004,45
16,Rosa-Maria Wulf,Female,kornelius60@googlemail.com,917,382213,68
17,Mathilde Warmer,Male,kargehellmut@googlemail.com,519,380004,53
18,Carl Hecker B.Sc.,Female,felixknappe@froehlich.com,652,382140,17
19,Dipl.-Ing. Samuel Berger,Male,margarethakoehler@hoelzenbecher.de,476,380061,9
20,Dipl.-Ing. Ernst Austermühle MBA.,Female,trudehauffer@yahoo.de,440,382220,45
21,Univ.Prof. Marta Bolander,Male,gerlinde40@gmail.com,296,382260,8
22,Anne-Kathrin Becker B.Sc.,Male,mara12@web.de,481,380024,86
23,Hubert Trommler,Female,rotraut43@ackermann.de,286,382460,41
24,Prof. Stefan Ullrich B.A.,Male,witoldbeyer@juettner.com,605,382130,8
25,Uli Schuchhardt B.A.,Male,qschottin@aol.de,212,382455,7
26,Josip Hellwig MBA.,Male,hans-uwe41@ortmann.com,420,382260,21
27,Melitta Langern,Male,frank-michael99@soeding.net,846,382455,19
28,Marica Heintze-Huhn,Female,oestrovskynatalia@steckel.de,85,382435,70
29,Agnes Zobel,Female,zvollbrecht@scheibe.org,218,382120,80
30,Necati Mohaupt,Female,angelamans@hartung.org,431,380026,98
31,Ing. Evelyn Vogt B.Sc.,Male,tilly21@web.de,267,382120,1
32,Frau Linda Ortmann,Male,gotthardbolzmann@gmail.com,77,382150,4
33,Linda Henck-Hande,Male,yhauffer@heintze.org,223,380060,29
34,Regine Meister,Male,pkeudel@googlemail.com,115,382170,25
35,Dipl.-Ing. Nina Wirth,Male,jolanthe03@schulz.de,771,382220,70
36,Natascha Trommler,Female,florence34@ullrich.net,511,382220,92
37,Univ.Prof. Radmila Gieß,Female,xrogge@yahoo.de,158,380004,65
38,Fernando Schaaf-Oderwald,Male,insatroest@aol.de,281,382463,57
39,Prof. Dimitrios Weihmann,Male,chantal58@hotmail.de,376,380050,1
40,Frau Nevenka Harloff B.Eng.,Male,haaseeugen@schulz.de,433,380016,47
41,Dipl.-Ing. Bertha Mühle B.Sc.,Male,jolantabohnbach@mangold.com,22,382433,69
42,Johanne Sager,Female,zirmesylwia@web.de,122,382150,1
43,Dipl.-Ing. Katherina Lorch,Female,waehnertilo@aol.de,626,382130,68
44,Ismet Junck,Male,irinareinhardt@kramer.com,401,380001,92
45,Agnes Säuberlich,Male,hans-helmut71@gmail.com,223,382435,20
46,Geraldine Henk,Female,aloyskusch@hotmail.de,76,380058,83
47,Zdenka Lachmann,Female,raymond89@tintzmann.org,762,380008,6
